Coordinates:
0.0,0.714285714286,1.42857142857,2.14285714286,2.85714285714,3.57142857143,4.28571428571,5.0,5.71428571429,6.42857142857,7.14285714286,7.85714285714,8.57142857143,9.28571428571,10.0,
Volumes:
0.357142857143,0.714285714286,0.714285714286,0.714285714286,0.714285714286,0.714285714286,0.714285714286,0.714285714286,0.714285714286,0.714285714286,0.714285714286,0.714285714286,0.714285714286,0.714285714286,0.357142857143,

 Time(s), delta (-) on vertices
141.58979918,1.99938912645,
283.179598361,1.99938912645,
424.769397541,2.19938912645,
566.359196721,2.39938912645,
707.948995901,2.59938912645,
849.538795082,2.49938912645,
991.128594262,2.39938912645,
1132.71839344,2.29938912645,
1274.30819262,2.19938912645,
1415.8979918,2.09938912645,
1557.48779098,2.14938912645,
1699.07759016,2.19938912645,
1840.66738934,2.17438912645,
1982.25718852,2.14938912645,
2123.8469877,2.12438912645,
2265.43678688,2.09938912645,
2407.02658606,2.07438912645,
2548.61638524,2.08688912645,
2690.20618443,2.09938912645,
2831.79598361,2.11188912645,
2973.38578279,2.10563912645,
3114.97558197,2.09938912645,
3256.56538115,2.09313912645,
3398.15518033,2.08688912645,
3539.74497951,2.08063912645,
3681.33477869,2.07438912645,
3822.92457787,2.06813912645,
3964.51437705,2.06188912645,
4106.10417623,2.05563912645,
4247.69397541,2.04938912645,
4389.28377459,2.04313912645,
4530.87357377,2.04626412645,
4672.46337295,2.04938912645,
4814.05317213,2.05251412645,
4955.64297131,2.05563912645,
5097.23277049,2.05876412645,
5238.82256967,2.05720162645,
5380.41236885,2.05563912645,
5522.00216803,2.05407662645,
5663.59196721,2.05251412645,
5805.18176639,2.05095162645,
5946.77156557,2.04938912645,
6088.36136475,2.04782662645,
6229.95116393,2.04626412645,
6371.54096311,2.04470162645,
6513.13076229,2.04313912645,
6654.72056147,2.04157662645,
6796.31036065,2.04001412645,
6937.90015983,2.03845162645,
7079.48995901,2.03688912645,
7221.07975819,2.03532662645,
7362.66955737,2.03376412645,
7504.25935655,2.03220162645,
7645.84915573,2.03063912645,
7787.43895492,2.02907662645,
7929.0287541,2.02751412645,
8070.61855328,2.02595162645,
8212.20835246,2.02438912645,
8353.79815164,2.02282662645,
8495.38795082,2.02126412645,
8636.97775,2.01970162645,
8778.56754918,2.01813912645,
8920.15734836,2.01657662645,
9061.74714754,2.01501412645,
