Coordinates:
0.0,0.714285714286,1.42857142857,2.14285714286,2.85714285714,3.57142857143,4.28571428571,5.0,5.71428571429,6.42857142857,7.14285714286,7.85714285714,8.57142857143,9.28571428571,10.0,
Volumes:
0.357142857143,0.714285714286,0.714285714286,0.714285714286,0.714285714286,0.714285714286,0.714285714286,0.714285714286,0.714285714286,0.714285714286,0.714285714286,0.714285714286,0.714285714286,0.714285714286,0.357142857143,

 Time(s), delta (-) on vertices
141.58979918,1.0,
283.179598361,1.0,
424.769397541,1.0,
566.359196721,1.0,
707.948995901,1.0,
849.538795082,1.2,
991.128594262,1.4,
1132.71839344,1.6,
1274.30819262,1.8,
1415.8979918,2.0,
1557.48779098,2.2,
1699.07759016,2.4,
1840.66738934,2.3,
1982.25718852,2.2,
2123.8469877,2.1,
2265.43678688,2.0,
2407.02658606,2.05,
2548.61638524,2.1,
2690.20618443,2.15,
2831.79598361,2.125,
2973.38578279,2.1,
3114.97558197,2.075,
3256.56538115,2.05,
3398.15518033,2.0625,
3539.74497951,2.075,
3681.33477869,2.0875,
3822.92457787,2.08125,
3964.51437705,2.075,
4106.10417623,2.06875,
4247.69397541,2.0625,
4389.28377459,2.05625,
4530.87357377,2.05,
4672.46337295,2.04375,
4814.05317213,2.046875,
4955.64297131,2.05,
5097.23277049,2.053125,
5238.82256967,2.05625,
5380.41236885,2.0546875,
5522.00216803,2.053125,
5663.59196721,2.0515625,
5805.18176639,2.05,
5946.77156557,2.0484375,
6088.36136475,2.046875,
6229.95116393,2.0453125,
6371.54096311,2.04375,
6513.13076229,2.0421875,
6654.72056147,2.040625,
6796.31036065,2.0390625,
6937.90015983,2.0375,
7079.48995901,2.0359375,
7221.07975819,2.034375,
7362.66955737,2.0328125,
7504.25935655,2.03125,
7645.84915573,2.0296875,
7787.43895492,2.028125,
7929.0287541,2.0265625,
8070.61855328,2.025,
8212.20835246,2.0234375,
8353.79815164,2.021875,
8495.38795082,2.0203125,
8636.97775,2.01875,
8778.56754918,2.0171875,
8920.15734836,2.015625,
9061.74714754,2.0140625,
9203.33694672,2.01484375,
9344.9267459,2.015625,
9486.51654508,2.01640625,
9628.10634426,2.0171875,
9769.69614344,2.01796875,
9911.28594262,2.01875,
10052.8757418,2.01953125,
10194.465541,2.0203125,
10336.0553402,2.019921875,
10477.6451393,2.01953125,
10619.2349385,2.019140625,
10760.8247377,2.01875,
10902.4145369,2.018359375,
11044.0043361,2.01796875,
11185.5941352,2.017578125,
11327.1839344,2.0171875,
11468.7737336,2.016796875,
11610.3635328,2.01640625,
11751.953332,2.016015625,
11893.5431311,2.015625,
12035.1329303,2.015234375,
12176.7227295,2.01484375,
12318.3125287,2.014453125,
12459.9023279,2.0140625,
12601.492127,2.013671875,
12743.0819262,2.01328125,
12884.6717254,2.012890625,
13026.2615246,2.0125,
13167.8513238,2.012109375,
13309.4411229,2.01171875,
13451.0309221,2.011328125,
13592.6207213,2.0109375,
13734.2105205,2.010546875,
13875.8003197,2.01015625,
14017.3901188,2.009765625,
14158.979918,2.009375,
14300.5697172,2.008984375,
14442.1595164,2.00859375,
14583.7493156,2.008203125,
14725.3391147,2.0078125,
14866.9289139,2.007421875,
15008.5187131,2.00703125,
15150.1085123,2.006640625,
15291.6983115,2.00625,
15433.2881107,2.005859375,
15574.8779098,2.00546875,
15716.467709,2.005078125,
15858.0575082,2.0046875,
15999.6473074,2.004296875,
16141.2371066,2.00390625,
16282.8269057,2.003515625,
16424.4167049,2.003125,
16566.0065041,2.002734375,
16707.5963033,2.00234375,
16849.1861025,2.001953125,
16990.7759016,2.0015625,
17132.3657008,2.001171875,
17273.9555,2.00078125,
17415.5452992,2.000390625,
17557.1350984,2.0,
17698.7248975,1.999609375,
17840.3146967,1.99921875,
17981.9044959,1.998828125,
18123.4942951,1.9984375,
18265.0840943,1.998046875,
18406.6738934,1.99765625,
18548.2636926,1.997265625,
18689.8534918,1.996875,
18831.443291,1.996484375,
18973.0330902,1.99609375,
19114.6228893,1.995703125,
19256.2126885,1.9953125,
19397.8024877,1.994921875,
19539.3922869,1.9951171875,
19680.9820861,1.9953125,
19822.5718852,1.9955078125,
19964.1616844,1.995703125,
20105.7514836,1.9958984375,
20247.3412828,1.99609375,
20388.931082,1.9962890625,
20530.5208811,1.996484375,
20672.1106803,1.9966796875,
20813.7004795,1.996875,
20955.2902787,1.9970703125,
21096.8800779,1.997265625,
21238.469877,1.9974609375,
21380.0596762,1.99765625,
21521.6494754,1.9978515625,
21663.2392746,1.998046875,
21804.8290738,1.9982421875,
21946.4188729,1.9984375,
22088.0086721,1.9986328125,
22229.5984713,1.998828125,
22371.1882705,1.9990234375,
22512.7780697,1.99921875,
22654.3678688,1.9994140625,
22795.957668,1.999609375,
22937.5474672,1.9998046875,
23079.1372664,2.0,
23220.7270656,2.0001953125,
23362.3168647,2.000390625,
23503.9066639,2.0005859375,
23645.4964631,2.00078125,
23787.0862623,2.0009765625,
23928.6760615,2.001171875,
24070.2658606,2.0013671875,
24211.8556598,2.0015625,
24353.445459,2.0017578125,
24495.0352582,2.001953125,
24636.6250574,2.0021484375,
24778.2148565,2.00234375,
24919.8046557,2.0025390625,
25061.3944549,2.002734375,
25202.9842541,2.0029296875,
25344.5740533,2.003125,
25486.1638524,2.0033203125,
25627.7536516,2.003515625,
25769.3434508,2.0037109375,
25910.93325,2.00390625,
26052.5230492,2.0041015625,
26194.1128484,2.004296875,
26335.7026475,2.0044921875,
26477.2924467,2.0046875,
26618.8822459,2.0048828125,
26760.4720451,2.005078125,
26902.0618443,2.0052734375,
27043.6516434,2.00546875,
27185.2414426,2.0056640625,
27326.8312418,2.005859375,
27468.421041,2.0060546875,
27610.0108402,2.00625,
27751.6006393,2.0064453125,
27893.1904385,2.006640625,
28034.7802377,2.0068359375,
28176.3700369,2.00673828125,
28317.9598361,2.006640625,
28459.5496352,2.00654296875,
28601.1394344,2.0064453125,
28742.7292336,2.00634765625,
28884.3190328,2.00625,
29025.908832,2.00615234375,
29167.4986311,2.0060546875,
29309.0884303,2.00595703125,
29450.6782295,2.005859375,
29592.2680287,2.00576171875,
29733.8578279,2.0056640625,
29875.447627,2.00556640625,
30017.0374262,2.00546875,
30158.6272254,2.00537109375,
30300.2170246,2.0052734375,
30441.8068238,2.00517578125,
30583.3966229,2.005078125,
30724.9864221,2.00498046875,
30866.5762213,2.0048828125,
31008.1660205,2.00493164062,
31149.7558197,2.00498046875,
31291.3456188,2.00502929687,
31432.935418,2.005078125,
31574.5252172,2.00512695312,
31716.1150164,2.00517578125,
31857.7048156,2.00522460937,
31999.2946147,2.0052734375,
32140.8844139,2.00532226562,
32282.4742131,2.00537109375,
32424.0640123,2.00541992187,
32565.6538115,2.00546875,
32707.2436106,2.00551757812,
32848.8334098,2.00556640625,
32990.423209,2.00561523437,
33132.0130082,2.0056640625,
33273.6028074,2.00571289062,
33415.1926065,2.00576171875,
33556.7824057,2.00581054687,
33698.3722049,2.005859375,
33839.9620041,2.00590820312,
33981.5518033,2.00595703125,
34123.1416024,2.00600585937,
34264.7314016,2.0060546875,
34406.3212008,2.00610351562,
34547.911,2.00615234375,
34689.5007992,2.00620117187,
34831.0905983,2.00617675781,
34972.6803975,2.00615234375,
35114.2701967,2.00612792969,
35255.8599959,2.00610351562,
35397.4497951,2.00607910156,
35539.0395942,2.0060546875,
35680.6293934,2.00603027344,
35822.2191926,2.00600585937,
35963.8089918,2.00598144531,
