Coordinates:
0.0,0.714285714286,1.42857142857,2.14285714286,2.85714285714,3.57142857143,4.28571428571,5.0,5.71428571429,6.42857142857,7.14285714286,7.85714285714,8.57142857143,9.28571428571,10.0,
Volumes:
0.357142857143,0.714285714286,0.714285714286,0.714285714286,0.714285714286,0.714285714286,0.714285714286,0.714285714286,0.714285714286,0.714285714286,0.714285714286,0.714285714286,0.714285714286,0.714285714286,0.357142857143,

 Time(s), delta (-) on vertices
141.58979918,1.0,
283.179598361,1.0,
424.769397541,1.0,
566.359196721,1.0,
707.948995901,1.0,
849.538795082,1.0,
991.128594262,1.0,
1132.71839344,1.0,
1274.30819262,1.0,
1415.8979918,1.0,
1557.48779098,1.0,
1699.07759016,1.0,
1840.66738934,1.0,
1982.25718852,1.0,
2123.8469877,1.0,
2265.43678688,1.0,
2407.02658606,1.0,
2548.61638524,1.0,
2690.20618443,1.0,
2831.79598361,1.0,
2973.38578279,1.0,
3114.97558197,1.0,
3256.56538115,1.0,
3398.15518033,1.0,
3539.74497951,1.0,
3681.33477869,1.0,
3822.92457787,1.0,
3964.51437705,1.0,
4106.10417623,1.0,
4247.69397541,1.0,
4389.28377459,1.0,
4530.87357377,1.0,
4672.46337295,1.0,
4814.05317213,1.0,
4955.64297131,1.0,
5097.23277049,1.0,
5238.82256967,1.0,
5380.41236885,1.0,
5522.00216803,1.0,
5663.59196721,1.0,
5805.18176639,1.0,
5946.77156557,1.0,
6088.36136475,1.0,
6229.95116393,1.0,
6371.54096311,1.0,
6513.13076229,1.0,
6654.72056147,1.0,
6796.31036065,1.0,
6937.90015983,1.0,
7079.48995901,1.0,
7221.07975819,1.0,
7362.66955737,1.0,
7504.25935655,1.0,
7645.84915573,1.0,
7787.43895492,1.0,
7929.0287541,1.0,
8070.61855328,1.0,
8212.20835246,1.0,
8353.79815164,1.0,
8495.38795082,1.0,
8636.97775,1.0,
8778.56754918,1.0,
8920.15734836,1.0,
9061.74714754,1.0,
9203.33694672,1.0,
9344.9267459,1.0,
9486.51654508,1.0,
9628.10634426,1.0,
9769.69614344,1.0,
9911.28594262,1.0,
10052.8757418,1.0,
10194.465541,1.0,
10336.0553402,1.0,
10477.6451393,1.0,
10619.2349385,1.0,
10760.8247377,1.0,
10902.4145369,1.0,
11044.0043361,1.0,
11185.5941352,1.0,
11327.1839344,1.0,
11468.7737336,1.0,
11610.3635328,1.0,
11751.953332,1.0,
11893.5431311,1.0,
12035.1329303,1.0,
12176.7227295,1.0,
12318.3125287,1.0,
12459.9023279,1.0,
12601.492127,1.0,
12743.0819262,1.0,
12884.6717254,1.0,
13026.2615246,1.0,
13167.8513238,1.0,
13309.4411229,1.0,
13451.0309221,1.0,
13592.6207213,1.0,
13734.2105205,1.0,
13875.8003197,1.0,
14017.3901188,1.0,
14158.979918,1.0,
14300.5697172,1.0,
14442.1595164,1.0,
14583.7493156,1.0,
14725.3391147,1.0,
14866.9289139,1.0,
15008.5187131,1.0,
15150.1085123,1.0,
15291.6983115,1.0,
15433.2881107,1.0,
15574.8779098,1.0,
15716.467709,1.0,
15858.0575082,1.0,
15999.6473074,1.0,
16141.2371066,1.0,
16282.8269057,1.0,
16424.4167049,1.0,
16566.0065041,1.0,
16707.5963033,1.0,
16849.1861025,1.0,
16990.7759016,1.0,
17132.3657008,1.0,
17273.9555,1.0,
17415.5452992,1.0,
17557.1350984,1.0,
17698.7248975,1.0,
17840.3146967,1.0,
17981.9044959,1.0,
18123.4942951,1.0,
18265.0840943,1.0,
18406.6738934,1.0,
18548.2636926,1.0,
18689.8534918,1.0,
18831.443291,1.0,
18973.0330902,1.0,
19114.6228893,1.0,
19256.2126885,1.0,
19397.8024877,1.0,
19539.3922869,1.0,
19680.9820861,1.0,
19822.5718852,1.0,
19964.1616844,1.0,
20105.7514836,1.0,
20247.3412828,1.0,
20388.931082,1.0,
20530.5208811,1.0,
20672.1106803,1.0,
20813.7004795,1.0,
20955.2902787,1.0,
21096.8800779,1.0,
21238.469877,1.0,
21380.0596762,1.0,
21521.6494754,1.0,
21663.2392746,1.0,
21804.8290738,1.0,
21946.4188729,1.0,
22088.0086721,1.0,
22229.5984713,1.0,
22371.1882705,1.0,
22512.7780697,1.0,
22654.3678688,1.0,
22795.957668,1.0,
22937.5474672,1.0,
23079.1372664,1.0,
23220.7270656,1.0,
23362.3168647,1.0,
23503.9066639,1.0,
23645.4964631,1.0,
23787.0862623,1.0,
23928.6760615,1.0,
24070.2658606,1.0,
24211.8556598,1.0,
24353.445459,1.0,
24495.0352582,1.0,
24636.6250574,1.0,
24778.2148565,1.0,
24919.8046557,1.0,
25061.3944549,1.0,
25202.9842541,1.0,
25344.5740533,1.0,
25486.1638524,1.0,
25627.7536516,1.0,
25769.3434508,1.0,
25910.93325,1.0,
26052.5230492,1.0,
26194.1128484,1.0,
26335.7026475,1.0,
26477.2924467,1.0,
26618.8822459,1.0,
26760.4720451,1.0,
26902.0618443,1.0,
27043.6516434,1.0,
27185.2414426,1.0,
27326.8312418,1.0,
27468.421041,1.0,
27610.0108402,1.0,
27751.6006393,1.0,
27893.1904385,1.0,
28034.7802377,1.0,
28176.3700369,1.0,
28317.9598361,1.0,
28459.5496352,1.0,
28601.1394344,1.0,
28742.7292336,1.0,
28884.3190328,1.0,
29025.908832,1.0,
29167.4986311,1.0,
29309.0884303,1.0,
29450.6782295,1.0,
29592.2680287,1.0,
29733.8578279,1.0,
29875.447627,1.0,
30017.0374262,1.0,
30158.6272254,1.0,
30300.2170246,1.0,
30441.8068238,1.0,
30583.3966229,1.0,
30724.9864221,1.0,
30866.5762213,1.0,
31008.1660205,1.0,
31149.7558197,1.0,
31291.3456188,1.0,
31432.935418,1.0,
31574.5252172,1.0,
31716.1150164,1.0,
31857.7048156,1.0,
31999.2946147,1.0,
32140.8844139,1.0,
32282.4742131,1.0,
32424.0640123,1.0,
32565.6538115,1.0,
32707.2436106,1.0,
32848.8334098,1.0,
32990.423209,1.0,
33132.0130082,1.0,
33273.6028074,1.0,
33415.1926065,1.0,
33556.7824057,1.0,
33698.3722049,1.0,
33839.9620041,1.0,
33981.5518033,1.0,
34123.1416024,1.0,
34264.7314016,1.0,
34406.3212008,1.0,
34547.911,1.0,
34689.5007992,1.0,
34831.0905983,1.0,
34972.6803975,1.0,
35114.2701967,1.0,
35255.8599959,1.0,
35397.4497951,1.0,
35539.0395942,1.0,
35680.6293934,1.0,
35822.2191926,1.0,
35963.8089918,1.0,
36105.398791,1.0,
36246.9885902,1.0,
36388.5783893,1.0,
36530.1681885,1.0,
36671.7579877,1.0,
36813.3477869,1.0,
36954.9375861,1.0,
37096.5273852,1.0,
37238.1171844,1.0,
37379.7069836,1.0,
37521.2967828,1.0,
37662.886582,1.0,
37804.4763811,1.0,
37946.0661803,1.0,
38087.6559795,1.0,
38229.2457787,1.0,
38370.8355779,1.0,
38512.425377,1.0,
38654.0151762,1.0,
38795.6049754,1.0,
38937.1947746,1.0,
39078.7845738,1.0,
39220.3743729,1.0,
39361.9641721,1.0,
39503.5539713,1.0,
39645.1437705,1.0,
39786.7335697,1.0,
39928.3233688,1.0,
40069.913168,1.0,
40211.5029672,1.0,
40353.0927664,1.0,
40494.6825656,1.0,
40636.2723647,1.0,
40777.8621639,1.0,
40919.4519631,1.0,
41061.0417623,1.0,
41202.6315615,1.0,
41344.2213606,1.0,
41485.8111598,1.0,
41627.400959,1.0,
41768.9907582,1.0,
