Coordinates:
0.0,0.714285714286,1.42857142857,2.14285714286,2.85714285714,3.57142857143,4.28571428571,5.0,5.71428571429,6.42857142857,7.14285714286,7.85714285714,8.57142857143,9.28571428571,10.0,
Volumes:
0.357142857143,0.714285714286,0.714285714286,0.714285714286,0.714285714286,0.714285714286,0.714285714286,0.714285714286,0.714285714286,0.714285714286,0.714285714286,0.714285714286,0.714285714286,0.714285714286,0.357142857143,

 Time(s), delta (-) on vertices
0.410726587386,1.0,
0.821453174772,1.0,
1.23217976216,1.0,
1.64290634954,1.0,
2.05363293693,1.0,
2.46435952432,0.9,
2.8750861117,0.95,
3.28581269909,1.0,
3.69653928647,1.05,
4.10726587386,1.1,
4.51799246124,1.15,
4.92871904863,1.2,
5.33944563602,1.25,
5.7501722234,1.3,
6.16089881079,1.35,
6.57162539817,1.4,
6.98235198556,1.45,
7.39307857295,1.5,
7.80380516033,1.55,
8.21453174772,1.6,
8.6252583351,1.65,
9.03598492249,1.7,
9.44671150988,1.75,
9.85743809726,1.8,
10.2681646846,1.85,
10.678891272,1.9,
11.0896178594,1.95,
11.5003444468,2.0,
11.9110710342,2.05,
12.3217976216,2.1,
12.732524209,2.075,
13.1432507963,2.05,
13.5539773837,2.025,
13.9647039711,2.0375,
14.3754305585,2.05,
14.7861571459,2.0625,
15.1968837333,2.05625,
15.6076103207,2.05,
16.018336908,2.04375,
16.4290634954,2.0375,
16.8397900828,2.03125,
17.2505166702,2.025,
17.6612432576,2.028125,
18.071969845,2.03125,
18.4826964324,2.034375,
18.8934230198,2.0375,
19.3041496071,2.0359375,
19.7148761945,2.034375,
20.1256027819,2.0328125,
20.5363293693,2.03125,
20.9470559567,2.0296875,
21.3577825441,2.028125,
21.7685091315,2.0265625,
22.1792357188,2.025,
22.5899623062,2.0234375,
23.0006888936,2.021875,
23.411415481,2.0203125,
23.8221420684,2.01875,
24.2328686558,2.01953125,
24.6435952432,2.0203125,
25.0543218305,2.02109375,
25.4650484179,2.021875,
25.8757750053,2.02265625,
26.2865015927,2.0234375,
26.6972281801,2.02421875,
27.1079547675,2.025,
27.5186813549,2.02578125,
27.9294079422,2.025390625,
28.3401345296,2.025,
28.750861117,2.024609375,
29.1615877044,2.02421875,
29.5723142918,2.023828125,
29.9830408792,2.0234375,
30.3937674666,2.023046875,
30.8044940539,2.02265625,
31.2152206413,2.022265625,
31.6259472287,2.021875,
32.0366738161,2.021484375,
32.4474004035,2.02109375,
32.8581269909,2.020703125,
33.2688535783,2.0203125,
33.6795801656,2.019921875,
34.090306753,2.01953125,
34.5010333404,2.019140625,
34.9117599278,2.01875,
35.3224865152,2.018359375,
35.7332131026,2.01796875,
36.14393969,2.017578125,
36.5546662773,2.0171875,
36.9653928647,2.016796875,
37.3761194521,2.01640625,
37.7868460395,2.016015625,
38.1975726269,2.015625,
