Coordinates:
0.0,0.714285714286,1.42857142857,2.14285714286,2.85714285714,3.57142857143,4.28571428571,5.0,5.71428571429,6.42857142857,7.14285714286,7.85714285714,8.57142857143,9.28571428571,10.0,
Volumes:
0.357142857143,0.714285714286,0.714285714286,0.714285714286,0.714285714286,0.714285714286,0.714285714286,0.714285714286,0.714285714286,0.714285714286,0.714285714286,0.714285714286,0.714285714286,0.714285714286,0.357142857143,

 Time(s), delta (-) on vertices
0.410726587386,1.0,
0.821453174772,1.0,
1.23217976216,1.0,
1.64290634954,1.0,
2.05363293693,1.0,
2.46435952432,1.0,
2.8750861117,1.0,
3.28581269909,1.0,
3.69653928647,1.0,
4.10726587386,1.0,
4.51799246124,1.0,
4.92871904863,1.0,
5.33944563602,1.0,
5.7501722234,1.0,
6.16089881079,1.0,
6.57162539817,1.0,
6.98235198556,1.0,
7.39307857295,1.0,
7.80380516033,1.0,
8.21453174772,1.0,
8.6252583351,1.0,
9.03598492249,1.0,
9.44671150988,1.0,
9.85743809726,1.0,
10.2681646846,1.0,
10.678891272,1.0,
11.0896178594,1.0,
11.5003444468,1.0,
11.9110710342,1.0,
12.3217976216,1.0,
12.732524209,1.0,
13.1432507963,1.0,
13.5539773837,1.0,
13.9647039711,1.0,
14.3754305585,1.0,
14.7861571459,1.0,
15.1968837333,1.0,
15.6076103207,1.0,
16.018336908,1.0,
16.4290634954,1.0,
16.8397900828,1.0,
17.2505166702,1.0,
17.6612432576,1.0,
18.071969845,1.0,
18.4826964324,1.0,
18.8934230198,1.0,
19.3041496071,1.0,
19.7148761945,1.0,
20.1256027819,1.0,
20.5363293693,1.0,
20.9470559567,1.0,
21.3577825441,1.0,
21.7685091315,1.0,
22.1792357188,1.0,
22.5899623062,1.0,
23.0006888936,1.0,
23.411415481,1.0,
23.8221420684,1.0,
24.2328686558,1.0,
24.6435952432,1.0,
25.0543218305,1.0,
25.4650484179,1.0,
25.8757750053,1.0,
26.2865015927,1.0,
26.6972281801,1.0,
27.1079547675,1.0,
27.5186813549,1.0,
27.9294079422,1.0,
28.3401345296,1.0,
28.750861117,1.0,
29.1615877044,1.0,
29.5723142918,1.0,
29.9830408792,1.0,
30.3937674666,1.0,
30.8044940539,1.0,
31.2152206413,1.0,
31.6259472287,1.0,
32.0366738161,1.0,
32.4474004035,1.0,
32.8581269909,1.0,
33.2688535783,1.0,
33.6795801656,1.0,
34.090306753,1.0,
34.5010333404,1.0,
34.9117599278,1.0,
35.3224865152,1.0,
35.7332131026,1.0,
36.14393969,1.0,
36.5546662773,1.0,
36.9653928647,1.0,
37.3761194521,1.0,
37.7868460395,1.0,
38.1975726269,1.0,
38.6082992143,1.0,
39.0190258017,1.0,
39.429752389,1.0,
39.8404789764,1.0,
40.2512055638,1.0,
40.6619321512,1.0,
41.0726587386,1.0,
41.483385326,1.0,
