Coordinates:
0.0,0.714285714286,1.42857142857,2.14285714286,2.85714285714,3.57142857143,4.28571428571,5.0,5.71428571429,6.42857142857,7.14285714286,7.85714285714,8.57142857143,9.28571428571,10.0,
Volumes:
0.357142857143,0.714285714286,0.714285714286,0.714285714286,0.714285714286,0.714285714286,0.714285714286,0.714285714286,0.714285714286,0.714285714286,0.714285714286,0.714285714286,0.714285714286,0.714285714286,0.357142857143,

 Time(s), delta (-) on vertices
1.0,1.0,
2.0,1.0,
3.0,1.0,
4.0,1.0,
5.0,1.0,
6.0,1.2,
7.0,1.4,
8.0,1.6,
9.0,1.8,
10.0,2.0,
11.0,2.2,
12.0,2.4,
13.0,2.6,
14.0,2.8,
15.0,3.0,
16.0,3.2,
17.0,3.4,
18.0,3.6,
19.0,3.8,
20.0,4.0,
21.0,3.9,
22.0,3.8,
23.0,3.7,
24.0,3.75,
25.0,3.8,
26.0,3.85,
27.0,3.825,
28.0,3.8,
29.0,3.775,
30.0,3.75,
31.0,3.725,
32.0,3.7,
33.0,3.675,
34.0,3.65,
35.0,3.625,
36.0,3.6,
37.0,3.575,
38.0,3.55,
39.0,3.525,
40.0,3.5,
41.0,3.5125,
42.0,3.525,
43.0,3.5375,
44.0,3.55,
45.0,3.5625,
46.0,3.575,
47.0,3.5875,
48.0,3.6,
49.0,3.6125,
50.0,3.625,
51.0,3.6375,
52.0,3.65,
53.0,3.6625,
54.0,3.675,
55.0,3.66875,
56.0,3.6625,
57.0,3.65625,
58.0,3.65,
59.0,3.64375,
60.0,3.6375,
61.0,3.63125,
62.0,3.625,
63.0,3.61875,
64.0,3.6125,
65.0,3.60625,
66.0,3.6,
67.0,3.59375,
68.0,3.5875,
69.0,3.58125,
70.0,3.575,
71.0,3.56875,
72.0,3.5625,
73.0,3.55625,
74.0,3.55,
75.0,3.54375,
76.0,3.5375,
77.0,3.53125,
78.0,3.525,
79.0,3.51875,
80.0,3.5125,
81.0,3.50625,
82.0,3.5,
83.0,3.49375,
84.0,3.4875,
85.0,3.48125,
86.0,3.475,
87.0,3.46875,
88.0,3.4625,
89.0,3.45625,
90.0,3.45,
91.0,3.44375,
92.0,3.4375,
93.0,3.43125,
94.0,3.425,
95.0,3.41875,
96.0,3.4125,
97.0,3.40625,
98.0,3.4,
99.0,3.39375,
100.0,3.3875,
101.0,3.38125,
102.0,3.375,
103.0,3.36875,
104.0,3.3625,
105.0,3.35625,
106.0,3.35,
107.0,3.34375,
108.0,3.3375,
109.0,3.33125,
110.0,3.325,
111.0,3.31875,
112.0,3.3125,
113.0,3.30625,
114.0,3.3,
115.0,3.29375,
116.0,3.2875,
117.0,3.28125,
118.0,3.275,
119.0,3.26875,
120.0,3.2625,
121.0,3.25625,
122.0,3.25,
123.0,3.24375,
124.0,3.2375,
125.0,3.23125,
126.0,3.225,
127.0,3.21875,
128.0,3.2125,
129.0,3.20625,
130.0,3.2,
131.0,3.19375,
132.0,3.1875,
133.0,3.18125,
134.0,3.175,
135.0,3.16875,
136.0,3.1625,
137.0,3.15625,
138.0,3.15,
139.0,3.14375,
140.0,3.1375,
141.0,3.13125,
142.0,3.125,
143.0,3.11875,
144.0,3.1125,
145.0,3.10625,
146.0,3.1,
147.0,3.09375,
148.0,3.0875,
149.0,3.08125,
150.0,3.075,
151.0,3.06875,
152.0,3.0625,
153.0,3.05625,
154.0,3.05,
155.0,3.04375,
156.0,3.046875,
157.0,3.0453125,
158.0,3.04375,
159.0,3.0421875,
160.0,3.040625,
161.0,3.0390625,
162.0,3.0375,
163.0,3.0359375,
164.0,3.034375,
165.0,3.0328125,
166.0,3.03125,
167.0,3.0296875,
168.0,3.028125,
169.0,3.0265625,
170.0,3.025,
171.0,3.0234375,
172.0,3.021875,
173.0,3.0203125,
174.0,3.01875,
175.0,3.0171875,
176.0,3.015625,
177.0,3.0140625,
178.0,3.0125,
179.0,3.0109375,
180.0,3.009375,
181.0,3.0078125,
182.0,3.00625,
183.0,3.0046875,
184.0,3.003125,
185.0,3.0015625,
186.0,3.0,
187.0,2.9984375,
188.0,2.996875,
189.0,2.9953125,
190.0,2.99375,
191.0,2.9921875,
192.0,2.990625,
193.0,2.9890625,
194.0,2.9875,
195.0,2.9859375,
196.0,2.984375,
197.0,2.9828125,
198.0,2.98125,
199.0,2.9796875,
200.0,2.978125,
201.0,2.9765625,
202.0,2.975,
203.0,2.9734375,
204.0,2.971875,
205.0,2.9703125,
206.0,2.96875,
207.0,2.9671875,
208.0,2.965625,
209.0,2.9640625,
210.0,2.9625,
211.0,2.9609375,
212.0,2.959375,
213.0,2.9578125,
214.0,2.95625,
215.0,2.9546875,
216.0,2.953125,
217.0,2.9515625,
218.0,2.95,
219.0,2.9484375,
220.0,2.946875,
221.0,2.9453125,
222.0,2.94375,
223.0,2.9421875,
224.0,2.940625,
225.0,2.9390625,
226.0,2.9375,
227.0,2.9359375,
228.0,2.934375,
229.0,2.9328125,
230.0,2.93125,
231.0,2.9296875,
232.0,2.928125,
233.0,2.9265625,
234.0,2.925,
235.0,2.9234375,
236.0,2.921875,
237.0,2.9203125,
238.0,2.91875,
239.0,2.9171875,
240.0,2.915625,
241.0,2.9140625,
242.0,2.9125,
243.0,2.9109375,
244.0,2.909375,
245.0,2.9078125,
