Coordinates:
0.0,0.714285714286,1.42857142857,2.14285714286,2.85714285714,3.57142857143,4.28571428571,5.0,5.71428571429,6.42857142857,7.14285714286,7.85714285714,8.57142857143,9.28571428571,10.0,
Volumes:
0.357142857143,0.714285714286,0.714285714286,0.714285714286,0.714285714286,0.714285714286,0.714285714286,0.714285714286,0.714285714286,0.714285714286,0.714285714286,0.714285714286,0.714285714286,0.714285714286,0.357142857143,

 Time(s), delta (-) on vertices
1.0,1.0,
2.0,1.0,
3.0,1.0,
4.0,1.0,
5.0,1.0,
6.0,0.9,
7.0,0.95,
8.0,1.0,
9.0,1.05,
10.0,1.1,
11.0,1.15,
12.0,1.2,
13.0,1.25,
14.0,1.3,
15.0,1.35,
16.0,1.4,
17.0,1.45,
18.0,1.5,
19.0,1.55,
20.0,1.6,
21.0,1.65,
22.0,1.7,
23.0,1.75,
24.0,1.8,
25.0,1.85,
26.0,1.9,
27.0,1.95,
28.0,2.0,
29.0,2.05,
30.0,2.025,
31.0,2.0,
32.0,2.0125,
33.0,2.025,
34.0,2.0375,
35.0,2.03125,
36.0,2.025,
37.0,2.01875,
38.0,2.0125,
39.0,2.015625,
40.0,2.01875,
41.0,2.021875,
42.0,2.0203125,
43.0,2.01875,
44.0,2.0171875,
45.0,2.015625,
46.0,2.0140625,
47.0,2.0125,
48.0,2.0109375,
49.0,2.01171875,
50.0,2.0125,
51.0,2.01328125,
52.0,2.0140625,
53.0,2.01484375,
54.0,2.015625,
55.0,2.015234375,
56.0,2.01484375,
57.0,2.014453125,
58.0,2.0140625,
59.0,2.013671875,
60.0,2.01328125,
61.0,2.012890625,
62.0,2.0125,
63.0,2.012109375,
64.0,2.01171875,
65.0,2.011328125,
66.0,2.0115234375,
67.0,2.01171875,
68.0,2.0119140625,
69.0,2.012109375,
70.0,2.0123046875,
71.0,2.0125,
72.0,2.0126953125,
73.0,2.01259765625,
74.0,2.0125,
75.0,2.01240234375,
76.0,2.0123046875,
77.0,2.01220703125,
78.0,2.012109375,
79.0,2.01201171875,
80.0,2.0119140625,
81.0,2.01181640625,
82.0,2.01171875,
83.0,2.01162109375,
84.0,2.0115234375,
85.0,2.01157226563,
86.0,2.01154785156,
87.0,2.0115234375,
88.0,2.01149902344,
89.0,2.01147460938,
90.0,2.01145019531,
91.0,2.01142578125,
92.0,2.01140136719,
93.0,2.01137695313,
94.0,2.01135253906,
95.0,2.011328125,
96.0,2.01130371094,
97.0,2.01127929688,
98.0,2.01125488281,
99.0,2.01123046875,
100.0,2.01120605469,
101.0,2.01118164062,
102.0,2.01115722656,
103.0,2.0111328125,
104.0,2.01110839844,
105.0,2.01108398437,
106.0,2.01105957031,
107.0,2.01103515625,
108.0,2.01101074219,
109.0,2.01098632812,
110.0,2.01096191406,
111.0,2.0109375,
112.0,2.01091308594,
113.0,2.01088867187,
114.0,2.01086425781,
115.0,2.01083984375,
116.0,2.01081542969,
117.0,2.01079101562,
118.0,2.01076660156,
119.0,2.0107421875,
120.0,2.01071777344,
121.0,2.01069335937,
122.0,2.01066894531,
123.0,2.01064453125,
124.0,2.01062011719,
125.0,2.01059570312,
126.0,2.01057128906,
127.0,2.010546875,
128.0,2.01052246094,
129.0,2.01049804687,
130.0,2.01047363281,
131.0,2.01044921875,
132.0,2.01042480469,
133.0,2.01040039062,
134.0,2.01037597656,
135.0,2.0103515625,
136.0,2.01032714844,
137.0,2.01030273437,
138.0,2.01027832031,
139.0,2.01025390625,
140.0,2.01022949219,
141.0,2.01020507812,
142.0,2.01018066406,
143.0,2.01015625,
144.0,2.01013183594,
145.0,2.01010742187,
146.0,2.01008300781,
147.0,2.01005859375,
148.0,2.01003417969,
149.0,2.01000976562,
150.0,2.00998535156,
151.0,2.0099609375,
152.0,2.00993652344,
153.0,2.00991210937,
154.0,2.00988769531,
155.0,2.00986328125,
156.0,2.00983886719,
157.0,2.00981445312,
158.0,2.00979003906,
159.0,2.009765625,
160.0,2.00974121094,
161.0,2.00971679687,
162.0,2.00969238281,
163.0,2.00966796875,
164.0,2.00964355469,
165.0,2.00961914062,
166.0,2.00959472656,
167.0,2.0095703125,
168.0,2.00954589844,
169.0,2.00952148437,
170.0,2.00949707031,
171.0,2.00947265625,
172.0,2.00944824219,
173.0,2.00942382812,
174.0,2.00939941406,
175.0,2.009375,
176.0,2.00935058594,
177.0,2.00932617187,
178.0,2.00930175781,
179.0,2.00927734375,
180.0,2.00925292969,
181.0,2.00922851562,
182.0,2.00920410156,
183.0,2.0091796875,
184.0,2.00915527344,
185.0,2.00913085937,
186.0,2.00910644531,
187.0,2.00908203125,
188.0,2.00905761719,
189.0,2.00903320312,
190.0,2.00900878906,
191.0,2.008984375,
192.0,2.00895996094,
193.0,2.00893554687,
194.0,2.00891113281,
195.0,2.00888671875,
196.0,2.00886230469,
197.0,2.00883789062,
198.0,2.00881347656,
199.0,2.0087890625,
200.0,2.00876464844,
201.0,2.00874023437,
202.0,2.00871582031,
203.0,2.00869140625,
204.0,2.00866699219,
205.0,2.00864257812,
206.0,2.00861816406,
207.0,2.00859375,
208.0,2.00856933594,
209.0,2.00854492187,
210.0,2.00852050781,
211.0,2.00849609375,
212.0,2.00847167969,
213.0,2.00844726562,
214.0,2.00842285156,
215.0,2.0083984375,
