Coordinates:
0.0,0.714285714286,1.42857142857,2.14285714286,2.85714285714,3.57142857143,4.28571428571,5.0,5.71428571429,6.42857142857,7.14285714286,7.85714285714,8.57142857143,9.28571428571,10.0,
Volumes:
0.357142857143,0.714285714286,0.714285714286,0.714285714286,0.714285714286,0.714285714286,0.714285714286,0.714285714286,0.714285714286,0.714285714286,0.714285714286,0.714285714286,0.714285714286,0.714285714286,0.357142857143,

 Time(s), delta (-) on vertices
7.66096613244,1.0,
15.3219322649,1.0,
22.9828983973,1.2,
30.6438645298,1.4,
38.3048306622,1.3,
45.9657967946,1.2,
53.6267629271,1.1,
61.2877290595,1.0,
68.948695192,1.05,
76.6096613244,1.1,
84.2706274568,1.15,
91.9315935893,1.125,
99.5925597217,1.1,
107.253525854,1.075,
114.914491987,1.0875,
122.575458119,1.1,
130.236424251,1.09375,
137.897390384,1.0875,
145.558356516,1.08125,
153.219322649,1.075,
160.880288781,1.06875,
168.541254914,1.0625,
176.202221046,1.05625,
183.863187179,1.05,
191.524153311,1.053125,
199.185119443,1.05625,
206.846085576,1.059375,
214.507051708,1.0625,
222.168017841,1.065625,
229.828983973,1.0640625,
237.489950106,1.0625,
245.150916238,1.0609375,
252.811882371,1.059375,
260.472848503,1.0578125,
268.133814635,1.05625,
275.794780768,1.0546875,
283.4557469,1.053125,
291.116713033,1.0515625,
298.777679165,1.05,
306.438645298,1.0484375,
314.09961143,1.046875,
321.760577563,1.0453125,
329.421543695,1.04375,
337.082509827,1.0421875,
344.74347596,1.040625,
352.404442092,1.0390625,
360.065408225,1.0375,
367.726374357,1.0359375,
375.38734049,1.034375,
383.048306622,1.0328125,
390.709272754,1.03125,
398.370238887,1.03203125,
406.031205019,1.0328125,
413.692171152,1.03359375,
421.353137284,1.034375,
429.014103417,1.03515625,
436.675069549,1.0359375,
444.336035682,1.03671875,
451.997001814,1.0375,
459.657967946,1.03828125,
467.318934079,1.0390625,
474.979900211,1.03984375,
482.640866344,1.040625,
490.301832476,1.04140625,
497.962798609,1.0421875,
505.623764741,1.04296875,
513.284730874,1.042578125,
520.945697006,1.0421875,
528.606663138,1.041796875,
536.267629271,1.04140625,
543.928595403,1.041015625,
551.589561536,1.040625,
559.250527668,1.040234375,
566.911493801,1.0404296875,
574.572459933,1.04033203125,
582.233426065,1.040234375,
589.894392198,1.04013671875,
597.55535833,1.0400390625,
605.216324463,1.03994140625,
612.877290595,1.03984375,
620.538256728,1.03974609375,
628.19922286,1.0396484375,
635.860188993,1.03955078125,
643.521155125,1.039453125,
651.182121257,1.03935546875,
658.84308739,1.0392578125,
666.504053522,1.03916015625,
674.165019655,1.0390625,
681.825985787,1.03896484375,
689.48695192,1.0388671875,
697.147918052,1.03876953125,
704.808884185,1.038671875,
712.469850317,1.03857421875,
720.130816449,1.0384765625,
727.791782582,1.03837890625,
735.452748714,1.03828125,
743.113714847,1.03818359375,
750.774680979,1.0380859375,
758.435647112,1.03798828125,
766.096613244,1.037890625,
773.757579377,1.03779296875,
781.418545509,1.0376953125,
789.079511641,1.03759765625,
796.740477774,1.0375,
804.401443906,1.03740234375,
812.062410039,1.0373046875,
819.723376171,1.03720703125,
827.384342304,1.037109375,
835.045308436,1.03701171875,
842.706274568,1.0369140625,
850.367240701,1.03681640625,
858.028206833,1.03671875,
865.689172966,1.03662109375,
873.350139098,1.0365234375,
881.011105231,1.03642578125,
888.672071363,1.036328125,
896.333037496,1.03623046875,
903.994003628,1.0361328125,
911.65496976,1.03603515625,
919.315935893,1.0359375,
926.976902025,1.03583984375,
934.637868158,1.0357421875,
942.29883429,1.03564453125,
949.959800423,1.035546875,
957.620766555,1.03544921875,
965.281732688,1.0353515625,
972.94269882,1.03525390625,
980.603664952,1.03515625,
988.264631085,1.03505859375,
995.925597217,1.0349609375,
1003.58656335,1.03486328125,
1011.24752948,1.034765625,
1018.90849561,1.03466796875,
1026.56946175,1.0345703125,
1034.23042788,1.03447265625,
1041.89139401,1.034375,
1049.55236014,1.03427734375,
1057.21332628,1.0341796875,
1064.87429241,1.03408203125,
1072.53525854,1.033984375,
1080.19622467,1.03388671875,
1087.85719081,1.0337890625,
1095.51815694,1.03369140625,
1103.17912307,1.03359375,
1110.8400892,1.03349609375,
1118.50105534,1.0333984375,
1126.16202147,1.03330078125,
1133.8229876,1.033203125,
1141.48395373,1.03310546875,
1149.14491987,1.0330078125,
1156.805886,1.03291015625,
1164.46685213,1.0328125,
1172.12781826,1.03271484375,
1179.7887844,1.0326171875,
1187.44975053,1.03251953125,
1195.11071666,1.032421875,
1202.77168279,1.03232421875,
1210.43264893,1.0322265625,
1218.09361506,1.03212890625,
1225.75458119,1.03203125,
1233.41554732,1.03193359375,
1241.07651346,1.0318359375,
1248.73747959,1.03173828125,
1256.39844572,1.031640625,
1264.05941185,1.03154296875,
1271.72037799,1.0314453125,
1279.38134412,1.03134765625,
1287.04231025,1.03125,
1294.70327638,1.03115234375,
1302.36424251,1.0310546875,
1310.02520865,1.03095703125,
1317.68617478,1.030859375,
1325.34714091,1.03076171875,
1333.00810704,1.0306640625,
1340.66907318,1.03056640625,
1348.33003931,1.03046875,
1355.99100544,1.03037109375,
1363.65197157,1.0302734375,
1371.31293771,1.03017578125,
1378.97390384,1.030078125,
1386.63486997,1.02998046875,
1394.2958361,1.0298828125,
1401.95680224,1.02978515625,
1409.61776837,1.0296875,
1417.2787345,1.02958984375,
1424.93970063,1.0294921875,
1432.60066677,1.02939453125,
1440.2616329,1.029296875,
1447.92259903,1.02919921875,
1455.58356516,1.0291015625,
1463.2445313,1.02900390625,
1470.90549743,1.02890625,
1478.56646356,1.02880859375,
1486.22742969,1.0287109375,
1493.88839583,1.02861328125,
1501.54936196,1.028515625,
1509.21032809,1.02841796875,
1516.87129422,1.0283203125,
1524.53226036,1.02822265625,
1532.19322649,1.028125,
1539.85419262,1.02802734375,
1547.51515875,1.0279296875,
1555.17612489,1.02797851563,
1562.83709102,1.02802734375,
1570.49805715,1.02807617188,
1578.15902328,1.028125,
1585.81998942,1.02817382813,
1593.48095555,1.02822265625,
1601.14192168,1.02827148438,
1608.80288781,1.0283203125,
1616.46385394,1.02836914063,
1624.12482008,1.02841796875,
1631.78578621,1.02846679688,
1639.44675234,1.028515625,
1647.10771847,1.02856445313,
1654.76868461,1.02861328125,
1662.42965074,1.02866210938,
1670.09061687,1.0287109375,
1677.751583,1.02875976563,
1685.41254914,1.02880859375,
1693.07351527,1.02885742188,
1700.7344814,1.02890625,
1708.39544753,1.02895507813,
1716.05641367,1.02900390625,
1723.7173798,1.02905273438,
1731.37834593,1.02902832031,
1739.03931206,1.02904052734,
1746.7002782,1.02905273438,
1754.36124433,1.02906494141,
1762.02221046,1.02907714844,
1769.68317659,1.02908935547,
1777.34414273,1.0291015625,
1785.00510886,1.02911376953,
1792.66607499,1.02912597656,
1800.32704112,1.02913818359,
1807.98800726,1.02915039063,
1815.64897339,1.02916259766,
1823.30993952,1.02917480469,
1830.97090565,1.02918701172,
1838.63187179,1.02919921875,
1846.29283792,1.02921142578,
1853.95380405,1.02922363281,
1861.61477018,1.02923583984,
1869.27573632,1.02924804688,
1876.93670245,1.02926025391,
1884.59766858,1.02927246094,
1892.25863471,1.02928466797,
1899.91960085,1.029296875,
1907.58056698,1.02930908203,
1915.24153311,1.02932128906,
1922.90249924,1.02933349609,
1930.56346538,1.02934570313,
1938.22443151,1.02935791016,
1945.88539764,1.02937011719,
1953.54636377,1.02938232422,
1961.2073299,1.02939453125,
1968.86829604,1.02940673828,
1976.52926217,1.02941894531,
1984.1902283,1.02943115234,
1991.85119443,1.02944335938,
1999.51216057,1.02945556641,
2007.1731267,1.02946777344,
2014.83409283,1.02947998047,
2022.49505896,1.0294921875,
