Coordinates:
0.0,2.0,4.0,6.0,8.0,10.0,
Volumes:
1.0,2.0,2.0,2.0,2.0,1.0,

 Time(s), delta (-) on vertices
125.925925141,1.0,
251.851850282,1.0,
377.777775423,1.2,
503.703700564,1.4,
629.629625705,1.6,
755.555550847,1.8,
881.481475988,2.0,
1007.40740113,2.2,
1133.33332627,2.4,
1259.25925141,2.6,
1385.18517655,2.8,
1511.11110169,3.0,
1637.03702683,3.2,
1762.96295198,3.4,
1888.88887712,3.6,
2014.81480226,3.8,
2140.7407274,4.0,
2266.66665254,4.2,
2392.59257768,4.4,
2518.51850282,4.6,
2644.44442796,4.8,
2770.3703531,5.0,
2896.29627825,5.2,
3022.22220339,5.4,
3148.14812853,5.6,
3274.07405367,5.8,
3399.99997881,6.0,
3525.92590395,6.2,
3651.85182909,6.4,
3777.77775423,6.6,
3903.70367937,6.8,
4029.62960451,7.0,
4155.55552966,7.2,
4281.4814548,7.4,
4407.40737994,7.6,
4533.33330508,7.8,
4659.25923022,8.0,
4785.18515536,8.2,
4911.1110805,8.4,
5037.03700564,8.6,
5162.96293078,8.8,
5288.88885593,9.0,
5414.81478107,9.2,
5540.74070621,9.4,
5666.66663135,9.6,
5792.59255649,9.8,
5918.51848163,10.0,
6044.44440677,10.2,
6170.37033191,10.4,
6296.29625705,10.6,
6422.2221822,10.8,
6548.14810734,11.0,
6674.07403248,11.2,
6799.99995762,11.4,
6925.92588276,11.6,
7051.8518079,11.8,
7177.77773304,12.0,
7303.70365818,12.2,
7429.62958332,12.4,
7555.55550847,12.6,
7681.48143361,12.8,
7807.40735875,13.0,
7933.33328389,13.2,
8059.25920903,13.4,
8185.18513417,13.6,
8311.11105931,13.8,
8437.03698445,14.0,
8562.96290959,14.2,
8688.88883474,14.4,
8814.81475988,14.6,
8940.74068502,14.8,
9066.66661016,15.0,
9192.5925353,15.2,
9318.51846044,15.4,
9444.44438558,15.6,
9570.37031072,15.8,
9696.29623586,16.0,
9822.22216101,16.2,
9948.14808615,16.4,
