Coordinates:
0.0,0.526315789474,1.05263157895,1.57894736842,2.10526315789,2.63157894737,3.15789473684,3.68421052632,4.21052631579,4.73684210526,5.26315789474,5.78947368421,6.31578947368,6.84210526316,7.36842105263,7.89473684211,8.42105263158,8.94736842105,9.47368421053,10.0,
Volumes:
0.263157894737,0.526315789474,0.526315789474,0.526315789474,0.526315789474,0.526315789474,0.526315789474,0.526315789474,0.526315789474,0.526315789474,0.526315789474,0.526315789474,0.526315789474,0.526315789474,0.526315789474,0.526315789474,0.526315789474,0.526315789474,0.526315789474,0.263157894737,

 Time(s), delta (-) on vertices
125.925925141,1.0,
251.851850282,1.0,
377.777775423,0.9,
503.703700564,0.92,
629.629625705,0.94,
755.555550847,0.96,
881.481475988,0.98,
1007.40740113,1.0,
1133.33332627,1.02,
1259.25925141,1.04,
1385.18517655,1.06,
1511.11110169,1.08,
1637.03702683,1.1,
1762.96295198,1.12,
1888.88887712,1.14,
2014.81480226,1.16,
2140.7407274,1.18,
2266.66665254,1.2,
2392.59257768,1.22,
2518.51850282,1.24,
2644.44442796,1.26,
2770.3703531,1.28,
2896.29627825,1.3,
3022.22220339,1.32,
3148.14812853,1.34,
3274.07405367,1.36,
3399.99997881,1.38,
3525.92590395,1.4,
3651.85182909,1.42,
3777.77775423,1.44,
3903.70367937,1.46,
4029.62960451,1.48,
4155.55552966,1.5,
4281.4814548,1.52,
4407.40737994,1.54,
4533.33330508,1.56,
4659.25923022,1.58,
4785.18515536,1.6,
4911.1110805,1.62,
5037.03700564,1.64,
5162.96293078,1.66,
5288.88885593,1.68,
5414.81478107,1.7,
5540.74070621,1.72,
5666.66663135,1.74,
5792.59255649,1.76,
5918.51848163,1.78,
6044.44440677,1.8,
6170.37033191,1.82,
6296.29625705,1.84,
6422.2221822,1.836,
6548.14810734,1.832,
6674.07403248,1.828,
6799.99995762,1.824,
6925.92588276,1.82,
7051.8518079,1.8208,
7177.77773304,1.82064,
7303.70365818,1.82048,
7429.62958332,1.82032,
7555.55550847,1.82016,
